date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:39:28	31147/31147	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/index04b9.html	(from )
08:39:30	131/131	---MCZ	200	added ('OK')	text/plain	date:Wed,%2026%20Jun%202024%2001:36:13%20GMT	https://bestwpware.com/robots.txt		(from )
08:39:33	121260/121260	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/bootstrap/css/bootstrap.min.css	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/bootstrap/css/bootstrap.min.css	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:39:33	27466/27466	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/fonts/font-awesome.min.css	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/fonts/font-awesome.min.css	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:39:34	1478/1478	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/owlcarousel/css/owl.carousel.css	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/owlcarousel/css/owl.carousel.css	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:39:34	1685/1685	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/owlcarousel/css/owl.theme.css	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/owlcarousel/css/owl.theme.css	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:39:34	7302/7302	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/css/magnific-popup.css	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/css/magnific-popup.css	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:39:35	36682/36682	---MCZ	200	added ('OK')	text/css	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/css/style.css	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/css/style.css	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:39:36	31147/31147	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/index.html	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/index.html	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:39:36	4818/4818	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/img/logo.png	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/img/logo.png	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:39:37	31231/31231	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/index_ripple.html	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/index_ripple.html	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:39:37	31309/31309	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/index_particle.html	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/index_particle.html	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:39:38	31599/31599	---MCZ	200	added ('OK')	text/html	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/index_youtube.html	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/index_youtube.html	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:39:39	326311/326311	---M--	200	added ('OK')	image/jpeg	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/img/bg/home-bg.jpg	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/img/bg/home-bg.jpg	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:39:39	54312/54312	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/img/hand.png	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/img/hand.png	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:39:41	39015/39015	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/img/mockup3-phone.png	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/img/mockup3-phone.png	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:39:41	25543/25543	---M--	200	added ('OK')	image/png	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/img/app-mockup-2.png	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/img/app-mockup-2.png	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
08:39:42	20938/20938	---M--	200	added ('OK')	image/jpeg	date:Mon,%2008%20Aug%202022%2005:15:36%20GMT	https://bestwpware.com/html/tf/laxm-demo/assets/img/team/team-1.jpg	C:/Users/Asus/Downloads/Temp-web-grads1/bestwpware.com/html/tf/laxm-demo/assets/img/team/team-1.jpg	(from https://bestwpware.com/html/tf/laxm-demo/?storefront=envato-elements)
